workerid,proliferate.condition,age,ethnicity,feedback,gender,race,error
2427,Condition_4,31,Non-Hispanic,,Female,Multiracial,
2531,Condition_4,43,Non-Hispanic,"Even though all the choices were technically correct, I just felt picking one as an explanation to my teammate might be unintentionally misleading, which is why I kept deferring to the ""either explanation"" being ok option.",Female,White,
2504,Condition_4,23,Non-Hispanic,,Female,Asian,
2453,Condition_4,64,Non-Hispanic,I tried to respond based on the information given to me. I do not have any additional comments or questions.,Male,White,
2514,Condition_4,42,Non-Hispanic,none,Female,Black/African American,
2529,Condition_4,40,Non-Hispanic,"I was honestly a little confused about what was different, so I went with instinct.",Female,White,
2471,Condition_4,37,Hispanic,I took the facts that I was presented to make my choice. Which ever decision that would give me the lowest percentage chance possible of losing a point.,Female,other_race,
2457,Condition_4,66,Non-Hispanic,I want to influence her to push the button for the orange switch so it has zero chance of turning on.,Female,White,
2458,Condition_4,56,Non-Hispanic,Going over the information on how the game works.,Female,White,
2467,Condition_4,31,Non-Hispanic,I think zarah should press the orange button,Male,White,
2508,Condition_4,21,Non-Hispanic,"In the second scenario with Zarah, we can easily reduce the orange's probability to zero and therefore guarantee that we do not lose a point. In the first, I thought pressing the blue button would be better so that it is less certain that the blue button turns on",Female,White,
2455,Condition_4,53,Non-Hispanic,,Female,White,
2475,Condition_4,54,Non-Hispanic,"I told Zarah that we lost a point because Orange turned on in the hopes that she would turn it off in future rounds to reduce the chance of happening again to 0%, so we wouldn't lose any more points. Interesting, different study.",Male,White,
2425,Condition_4,36,Non-Hispanic,,Female,White,
2492,Condition_4,60,Non-Hispanic,"I just decided how to respond based on a which felt right.  Pressing the button would lower the chance 20% on either color so during the round with Alice it didn't make much of a difference.  During the 2nd round with Zhara, I might have been confused, on what knowledge she had of the probability/teammate's knowledge.",Female,White,
2510,Condition_4,38,Non-Hispanic,"No, I did make a mistake though.  In the slightly different version of the game I should have selected the switch for the orange one to make it impossible to turn on.  that was a lapse in judgement on my part but I couldn't go back to fix it.  When answering about which explanation to use, I chose the one that had the color name in it that needed to have the switch pressed in the hope that they would take that as a hint to just press that colors switch.",Male,White,
2447,Condition_4,50,Non-Hispanic,,Female,White,
2437,Condition_4,46,Non-Hispanic,Trying to remember these rules precisely was extremely frustrating. It seemed as if the study or the game demanded a level of precision of thinking I am not used to.,Male,White,
2464,Condition_4,31,,I responded with my best understanding of the prompt.,Female,White,
2461,Condition_4,73,Non-Hispanic,I went with the odds...blue is a better risk,Female,White,
2485,Condition_4,49,Non-Hispanic,n/a,Male,White,
2445,Condition_4,43,Non-Hispanic,first one I took a chance in the secondone I took away the orange abilit to turn on.,Male,White,
2443,Condition_4,31,Non-Hispanic,I responded based solely on the information given to me,Female,White,
2499,Condition_4,24,Non-Hispanic,How much the percentage would actually affect our chance to win the game.,Male,White,
2473,Condition_4,38,Non-Hispanic,I replied based on what the rules and instructions told me to.,Male,White,
2423,Condition_4,25,Non-Hispanic,Just what I thought would be best to maximize points.,Male,Multiracial,
