workerid,proliferate.condition,age,ethnicity,feedback,gender,race,error
2728,Condition_3,32,Non-Hispanic,The information I had influenced my response. i wanted to make sure that the statistics were lessened if they were high and lower the probability of losing,Female,White,
2658,Condition_3,21,Non-Hispanic,"The instructions were overly complicated, which I only realized at the end confused my answer. ",Female,White,
2717,Condition_3,49,Non-Hispanic,Pushing the blue button has the greater influence on the stated odds,Male,White,
2769,Condition_3,62,Non-Hispanic,I chose because I knew which switch was more likely to be turned on,Female,White,
2719,Condition_3,39,Non-Hispanic,"The percentages on the blue button were much more impactful at 80% of being on vs 20%, so i tried to limit that as much as possible by recommending the blue button be pressed to reduce to 10%. ",Male,White,
2713,Condition_3,51,Non-Hispanic,Blue seemed most likely to be on with 80% ,Female,White,
2748,Condition_3,34,Non-Hispanic,"The wording on the explanation of lowering the on chance % was a bit ambiguous. During the first explanation, I was under the impression pressing the button decreased the on chance BY 10% rather than TO 10%. Had I recognized that, I would have chosen blue so that blue would have 10% on chance and the orange a 20% on chance to optimally minimize the chances of losing a point. ",Male,Multiracial,
2690,Condition_3,31,Non-Hispanic,I decided based on what made the most logical sense to inform the other partner.,Female,White,
2672,Condition_3,62,Non-Hispanic,"The blue switch always has a higher probability of turning on, so if turning on causes point loss it would be best to choose to press blue button to lower probability of on.  The orange always has a lower probability of turning on so no need to press the orange button",Female,Black/African American,
2740,Condition_3,33,Hispanic,The percentage of the probability each color would turn on. ,Male,Black/African American,
2675,Condition_3,27,Hispanic,I feel like the obvious answer would be to say because both turned on but I hovered towards blue since it was more likely to turn on,Male,other_race,
2772,Condition_3,29,Hispanic,Doing some math to find the odds,Male,Multiracial,
2757,Condition_3,40,Non-Hispanic,The blue switch needed to be manipulated the most in order to achieve the highest chance of both being off.,Male,White,
2738,Condition_3,51,Non-Hispanic,"I'm not sure I understand what it was about, and I feel quite stupid and pretty sure I messed it up.",Female,White,
2705,Condition_3,30,Non-Hispanic,,Male,White,
2685,Condition_3,67,Non-Hispanic,Just tried to use reasoning,Female,White,
2715,Condition_3,29,Non-Hispanic,What information I and my partner had access to. ,Female,White,
2720,Condition_3,26,Hispanic,Blue's probability of turning on being higher,Female,other_race,
2677,Condition_3,24,Non-Hispanic,I tried my best to be honest with the other participants without being as vague with the answers I was given.,Male,Black/African American,
2727,Condition_3,30,Non-Hispanic,My responses simply depended on if it was true or not. ,Male,White,
2694,Condition_3,59,Non-Hispanic,I mainly looked at the percentage it would take to turn each switch on.,Female,White,
2668,Condition_3,29,Non-Hispanic,factors - just reading and picking the best result and answering the questions. there is still a 50/50 chance of us having the switch on at the same time.,Female,Black/African American,
2733,Condition_3,54,Non-Hispanic,I think the higher percentage of the blue carried more weight in whether it would turn on or not.  ,Female,White,
2711,Condition_3,23,Non-Hispanic,The number of switches that had to be on to lose a point changed the way I communicated with my team mate. ,Female,White,
2763,Condition_3,34,Non-Hispanic,"I tried to gt them to understand that having one of the on's could make us loose points,",Female,White,
2752,Condition_3,32,Non-Hispanic,I'd rather them know the full information.,Female,Black/African American,
2759,Condition_3,28,Non-Hispanic,Trying to decrease the probability of losing a point.,Female,White,
2673,Condition_3,21,Non-Hispanic,What I knew vs what the other participant knew,Female,White,
2725,Condition_3,29,Non-Hispanic,,Male,Asian,
2761,Condition_3,33,Non-Hispanic,,Male,White,
2767,Condition_3,34,Non-Hispanic,pressing blue button turned 70% of ON to OFF. pressing orange button turned 10% of ON to OFF.,Non-binary,White,
2735,Condition_3,52,Non-Hispanic,If either switch was on we lose a point point regardless. ,Male,Black/African American,
2660,Condition_3,73,Non-Hispanic,,Female,White,
2771,Condition_3,62,Non-Hispanic,that was fun,Female,White,
2688,Condition_3,35,Hispanic,,Male,other_race,
2755,Condition_3,26,Non-Hispanic,,Male,White,
2753,Condition_3,25,Non-Hispanic,,Female,Asian,
2666,Condition_3,29,Hispanic,"Even though all the explanations were technically correct, I chose the one that would most likely influence the teammate to press the button for the blue switch.",Female,White,
2696,Condition_3,38,Non-Hispanic,Odds of turning on,Male,White,
2681,Condition_3,55,Non-Hispanic,"Instruction
No",Female,Asian,
2662,Condition_3,54,Non-Hispanic,,Female,White,
2692,Condition_3,51,Non-Hispanic,I would guess based on the probablities and discover if my chance was correct.,Male,White,
2683,Condition_3,37,Hispanic,"Very confusing, but I told her it was bc of the blue button, but I don't recall if it was the blue or orange.",Female,White,
2765,Condition_3,66,Non-Hispanic,"If we can't press both buttons, pressing the blue button would more decrease the chances of turning on.",Female,White,
2723,Condition_3,30,Non-Hispanic,,Female,White,
2770,Condition_3,41,Non-Hispanic,"Mostly I'm trying to get my teammate to make the optimal decision by, in either case, depressing the blue button and creating the best odds of not losing points in future rounds.",Male,White,
2707,Condition_3,41,Non-Hispanic,I gave the answer that had the most probability to turn on so they would choose the other color.,Male,White,
2679,Condition_3,29,Non-Hispanic,Only one switch had to be on so it didnt matter.,Female,White,
2698,Condition_3,55,Non-Hispanic,I just tried to explain the results according to my instructions.,Female,White,
2746,Condition_3,24,Hispanic,n/a,Male,other_race,
2750,Condition_3,23,Non-Hispanic,,Female,White,
2742,Condition_3,34,Hispanic,Based on the rules of the game and the info the other player had. I tried to select answers that might give them a hint as to which buttons are more likely to turn on / which button to push next time.,Female,White,
2756,Condition_4,57,Non-Hispanic,I had to evaluate what color button I expected Alice and Zarah to press in the next round. ,Female,White,
