workerid,proliferate.condition,explanation_response_1,explanation_response_2,intervention_response_1,intervention_response_2,error
1415,Conpos_Dispos,orange,no preference,orange,no preference,
1429,Conpos_Dispos,orange,no preference,orange,no preference,
1439,Conpos_Dispos,no preference,no preference,orange,orange,
1407,Conpos_Dispos,blue,orange,blue,orange,
1393,Conpos_Dispos,no preference,no preference,blue,blue,
1377,Conpos_Dispos,no preference,no preference,blue,no preference,
1400,Conpos_Dispos,orange,no preference,orange,orange,
1435,Conpos_Dispos,orange,no preference,orange,no preference,
1397,Conpos_Dispos,orange,no preference,orange,no preference,
1417,Conpos_Dispos,orange,no preference,orange,orange,
1403,Conpos_Dispos,no preference,no preference,orange,no preference,
1425,Conpos_Dispos,blue,no preference,blue,blue,
1389,Conpos_Dispos,no preference,no preference,blue,no preference,
1447,Conpos_Dispos,orange,no preference,orange,no preference,
1437,Conpos_Dispos,orange,orange,blue,blue,
1365,Conpos_Dispos,orange,no preference,orange,no preference,
1375,Conpos_Dispos,orange,no preference,orange,orange,
1455,Conpos_Dispos,blue,no preference,blue,blue,
1449,Conpos_Dispos,no preference,no preference,blue,blue,
1359,Conpos_Dispos,orange,no preference,orange,orange,
1459,Conpos_Dispos,orange,no preference,orange,no preference,
1443,Conpos_Dispos,orange,no preference,orange,no preference,
1369,Conpos_Dispos,blue,blue,blue,blue,
1379,Conpos_Dispos,no preference,no preference,blue,blue,
1409,Conpos_Dispos,orange,orange,orange,no preference,
1427,Conpos_Dispos,orange,no preference,orange,no preference,
1383,Conpos_Dispos,no preference,no preference,blue,blue,
1453,Conpos_Dispos,no preference,blue,blue,no preference,
1433,Conpos_Dispos,orange,no preference,orange,no preference,
1457,Conpos_Dispos,orange,orange,orange,orange,
1423,Conpos_Dispos,orange,no preference,orange,blue,
1431,Conpos_Dispos,blue,orange,blue,orange,
1451,Conpos_Dispos,no preference,no preference,orange,blue,
1381,Conpos_Dispos,no preference,no preference,orange,no preference,
1361,Conpos_Dispos,orange,blue,orange,orange,
1441,Conpos_Dispos,no preference,no preference,orange,orange,
1421,Conpos_Dispos,orange,orange,orange,orange,
1385,Conpos_Dispos,no preference,orange,blue,orange,
1401,Conpos_Dispos,orange,orange,orange,orange,
1405,Conpos_Dispos,orange,no preference,orange,no preference,
1387,Conpos_Dispos,no preference,no preference,no preference,no preference,
1371,Conpos_Dispos,blue,blue,blue,blue,
1419,Conpos_Dispos,orange,no preference,orange,no preference,
1445,Conpos_Dispos,blue,blue,blue,orange,
1363,Conpos_Dispos,no preference,no preference,orange,orange,
1391,Conpos_Dispos,orange,orange,orange,orange,
1411,Conpos_Dispos,orange,orange,orange,orange,
1373,Conpos_Dispos,orange,no preference,orange,no preference,
1367,Conpos_Dispos,no preference,no preference,orange,orange,
1398,Dispos_Conpos,no preference,no preference,blue,blue,
1396,Dispos_Conpos,no preference,orange,no preference,orange,
1406,Dispos_Conpos,orange,orange,orange,orange,
1394,Dispos_Conpos,blue,no preference,blue,blue,
1432,Dispos_Conpos,no preference,no preference,no preference,no preference,
1442,Dispos_Conpos,blue,orange,no preference,blue,
1434,Dispos_Conpos,no preference,orange,orange,orange,
1366,Dispos_Conpos,orange,orange,orange,orange,
1374,Dispos_Conpos,no preference,no preference,orange,orange,
1384,Dispos_Conpos,no preference,no preference,blue,blue,
1410,Dispos_Conpos,blue,blue,blue,blue,
1388,Dispos_Conpos,no preference,blue,orange,orange,
1380,Dispos_Conpos,no preference,no preference,blue,blue,
1368,Dispos_Conpos,blue,blue,blue,blue,
1399,Dispos_Conpos,no preference,no preference,orange,orange,
1370,Dispos_Conpos,blue,no preference,orange,orange,
1372,Dispos_Conpos,no preference,no preference,blue,blue,
1358,Dispos_Conpos,blue,blue,blue,orange,
1450,Dispos_Conpos,blue,blue,blue,blue,
1418,Dispos_Conpos,orange,orange,orange,orange,
1414,Dispos_Conpos,orange,orange,orange,orange,
1454,Dispos_Conpos,orange,orange,no preference,orange,
1408,Dispos_Conpos,orange,orange,orange,orange,
1360,Dispos_Conpos,orange,blue,orange,orange,
1428,Dispos_Conpos,no preference,orange,blue,no preference,
1386,Dispos_Conpos,orange,orange,orange,orange,
1402,Dispos_Conpos,blue,no preference,blue,orange,
1424,Dispos_Conpos,no preference,orange,no preference,orange,
1416,Dispos_Conpos,no preference,no preference,orange,orange,
1362,Dispos_Conpos,no preference,orange,no preference,orange,
1461,Dispos_Conpos,orange,orange,orange,orange,
1376,Dispos_Conpos,blue,no preference,blue,no preference,
1462,Dispos_Conpos,no preference,no preference,orange,orange,
1390,Dispos_Conpos,orange,orange,orange,orange,
1436,Dispos_Conpos,orange,orange,orange,orange,
1452,Dispos_Conpos,orange,orange,orange,orange,
1440,Dispos_Conpos,no preference,no preference,blue,orange,
1446,Dispos_Conpos,orange,no preference,orange,orange,
1392,Dispos_Conpos,blue,no preference,blue,no preference,
1422,Dispos_Conpos,blue,orange,blue,blue,
1364,Dispos_Conpos,blue,blue,orange,orange,
1456,Dispos_Conpos,no preference,orange,no preference,orange,
1438,Dispos_Conpos,no preference,no preference,no preference,blue,
1378,Dispos_Conpos,orange,orange,orange,orange,
1430,Dispos_Conpos,orange,blue,orange,orange,
1382,Dispos_Conpos,orange,orange,orange,orange,
1404,Dispos_Conpos,blue,orange,blue,blue,
1426,Dispos_Conpos,blue,blue,orange,orange,
