workerid,proliferate.condition,age,ethnicity,feedback,gender,race,error
1510,Disneg_Conneg,30,Non-Hispanic,The factor that determined point loss in each round influenced the way I responded.,Male,Black/African American,
1512,Disneg_Conneg,41,Non-Hispanic,"If both need to be on to lose the point, then our ability to turn either off will make us keep the point - so it's irrelevant why we lost on the first round. ",Male,White,
1494,Disneg_Conneg,25,Non-Hispanic,,Male,White,
1527,Disneg_Conneg,25,Hispanic,statistics knowledge,Female,White,
1549,Disneg_Conneg,27,Non-Hispanic,"I assumed if I told her it was because the blue switch turned on, that's the switch she would manually turn to off in the next round. That way, the blue switch is off and no matter which way the orange switch goes, we won't lose a point. ",Non-binary,White,
1565,Disneg_Conneg,22,Non-Hispanic,,Female,White,
1539,Disneg_Conneg,25,Non-Hispanic,"I was mostly focused on the orange switch due to its lower chance of switching on. Looking back, I would've explained to the other player that the point was lost due to the blue switch.",Female,Asian,
1559,Disneg_Conneg,42,Non-Hispanic,I look at the probability of the switches.,Male,Asian,
1525,Disneg_Conneg,39,Non-Hispanic,I just tried to answer honestly. No one switch was the problem if both switches were on.,Female,White,
1468,Disneg_Conneg,33,Non-Hispanic,"I think it is more like a ""blaming"" game, like we are trying to figure out what we find is blamable. I think we tend to blame something if it has a lower chance to happen and it happened, so we tend to focus on that part like a person usually don't sleep during the day and one day he sleeps, his car got stolen, we blame him for sleeping that day.",Male,White,
1569,Disneg_Conneg,26,Non-Hispanic,,Female,White,
1535,Disneg_Conneg,38,Non-Hispanic,,Male,Multiracial,
1496,Disneg_Conneg,20,Non-Hispanic,It wouldn't make sense if I said one color is turned on so we should turn if off if we had one choice on which one we should turn off when both of them our off and she doesn't know the probability.,Female,Multiracial,
1555,Disneg_Conneg,35,Hispanic,I just read and thought about the chances.,Male,White,
1537,Disneg_Conneg,25,Non-Hispanic,I would turn them off everytime because of the likelihood of losing a point,Male,White,
1490,Disneg_Conneg,25,Non-Hispanic,,Non-binary,White,
1502,Disneg_Conneg,26,Non-Hispanic,i made my decisions based on the probability of each switch turning on. I assumed that 80% probability meant it would indeed go in that direction,Male,White,
1561,Disneg_Conneg,49,Non-Hispanic,,Male,White,
1486,Disneg_Conneg,41,Non-Hispanic,There is a higher probability of the blue switch to turn on. ,Female,White,
1563,Disneg_Conneg,31,Non-Hispanic,Knowing about the probabilities for each switch influenced how I decided to respond. The conditions for losing a point also affected relevant probabilities.,Male,Asian,
1545,Disneg_Conneg,48,Non-Hispanic,no,Male,White,
1474,Disneg_Conneg,21,Non-Hispanic,I was influenced by which switch had a higher likelihood of turning on. ,Female,Black/African American,
1529,Disneg_Conneg,20,Non-Hispanic,"I tried to place myself in the other participant's position, and say what I thought would make them more likely turn the blue switch off",Female,White,
1570,Disneg_Conneg,26,Non-Hispanic,,Male,White,
1488,Disneg_Conneg,26,Non-Hispanic,I responded the way I did because it was the most likely to allow my team to win in future plays,Non-binary,White,
1498,Disneg_Conneg,37,Non-Hispanic,calculated the odds,Male,White,
1519,Disneg_Conneg,53,Non-Hispanic,I answered purely based on the probability given.,Female,White,
1541,Disneg_Conneg,22,Non-Hispanic, just  based on the facts given,Female,Black/African American,
1523,Disneg_Conneg,32,Non-Hispanic,"For the first scenario I wanted to get Alice to turn off the blue switch. So I made it seem like that was the reason we lost.

For the second one, it really doesn't matter what switch is turned off because no matter what we won't lose a point",Male,White,
1553,Disneg_Conneg,30,Non-Hispanic,I tried to use statistics to explain how favorable an outcome would be and how my choices would lead to the best outcome,Female,White,
1492,Disneg_Conneg,35,Non-Hispanic,The probability of the blue switch turning on was higher and therefore turning it off was more likely to positively impact the outcome of the game.,Female,White,
1557,Disneg_Conneg,36,Hispanic,giving us the best chance to win,Male,Multiracial,
1482,Disneg_Conneg,24,Non-Hispanic,Just reading the explanations,Female,White,
1571,Disneg_Conneg,19,Non-Hispanic,,Female,Asian,
1514,Disneg_Conneg,21,Non-Hispanic,"I told them about the blue switch because if the blue switch is guaranteed to be off, we have a really high probability of not losing a point.",Male,White,
1567,Disneg_Conneg,55,Non-Hispanic,my understanding of probability ,Male,White,
1472,Disneg_Conneg,46,Non-Hispanic,I thought there would be more rounds to the game and telling the first player it was the blue one would maker her less likely to turn blue on which I don't know even has any effect on whether or not the machine actually turns to on. This was confusing.,Female,White,
1484,Disneg_Conneg,35,Non-Hispanic,Just what I thought was the best way to look at it,Female,White,
1533,Disneg_Conneg,36,Non-Hispanic,no,Female,White,
1521,Disneg_Conneg,43,Hispanic,The blue switch had the more likely chance of influencing a negative outcome in both games so I tried to maximize the chances of winning by instructing the player in such a way as to minimize blue being the cause of a loss.,Male,Multiracial,
