workerid,proliferate.condition,age,ethnicity,feedback,gender,race,error
2317,Condition_2,51,Non-Hispanic,You want to increase chances of orange turned on because blue probability is already 80%. ,Female,Asian,
2353,Condition_2,20,Hispanic,"The blue switch had a higher chance of switching on, therefore i always answered that the blue switch was the reason we won the point. The association between the blue switch and winning is created to my teammate through that response. I don't have any questions or comments.",Female,White,
2321,Condition_2,23,Non-Hispanic,i went with the option i thought would increase the likely hood of winning.,Female,White,
2307,Condition_2,21,Non-Hispanic,,Female,White,
2389,Condition_2,37,Non-Hispanic,"By telling the teammate that we got a point because the Blue switch was on, they are more likely to choose the Blue button to up the percentage to 100%, thus guaranteeing that the Blue switch is always on.",Female,Multiracial,
2357,Condition_2,50,Non-Hispanic,just following the guidelines,Male,Asian,
2314,Condition_2,55,Non-Hispanic,just used logic,Female,White,
2337,Condition_2,65,Non-Hispanic,no,Female,White,
2381,Condition_2,36,Non-Hispanic,I gave the explanation that I thought would make them keep pressing the button that they needed to to maximise the points. Blue for the first contestant and orange for the second.,Male,White,
2345,Condition_2,55,Non-Hispanic,no,Female,White,
2339,Condition_2,31,Non-Hispanic,whether one or both needed to be on.,Male,White,
2325,Condition_2,25,Hispanic,probability theory,Male,other_race,
2319,Condition_2,22,Non-Hispanic,,Female,White,
2409,Condition_2,24,Non-Hispanic,The chance of each switch turning on and what the other contestant knew is what influenced my decision.,Male,White,
2393,Condition_2,64,Non-Hispanic,none,Female,White,
2400,Condition_2,26,Non-Hispanic,"If I could, I would choose to explain the reasons for us winning differently to my partner. The selections one could choose from could either make the partner choose the right one, the wrong one, or have no effect. ",Male,White,
2398,Condition_2,68,,I would want my team mate to feel that the blue button will create a better outcome,Female,White,
2343,Condition_2,47,Non-Hispanic,"I just thought that with Zarah the fact that I told her we got the point was because the orange switch turned on, that would help her realize that the orange switch probably has a lower probability and she should press the orange button. 

With Alice since only one switch needed to be on, and orange had the lesser odds, I wanted her to think that the orange switch was good, and have her press the blue button so it would be 100%",Female,White,
2331,Condition_2,22,Non-Hispanic,,Female,White,
2341,Condition_2,29,Non-Hispanic,The lack of my partner's knowledge mainly gave me reasons to respond the way I did.  ,Male,White,
2311,Condition_2,35,Non-Hispanic,I was choosing the answer with the highest probability.,Male,White,
2333,Condition_2,37,Non-Hispanic,"I just chose what made the most sense, though with the last scenario, I would have said that we scored a point because both were on.",Female,White,
2379,Condition_2,59,Non-Hispanic,I chose the switch with the most likely percentage to turn on,Female,White,
2355,Condition_2,38,Non-Hispanic,"I thought about choosing the explanation that would make sense to my partner so if we played another round they would be more informed on which choice would be better. Now that I think about it, it would have been better if I press the 20% button on the blue switch.",Male,Asian,
2361,Condition_2,26,Non-Hispanic,Percentage of switch being turned on,Female,White,
2367,Condition_2,44,Non-Hispanic,,Male,White,
2373,Condition_2,24,Non-Hispanic,I was trying to influence them to pick to increase the button I wanted.,Female,White,
2335,Condition_2,71,,"I believe there is an error in instructions with Alice. ever, Alice does not know whether the blue switch is more likely to turn ON or whether the BLUE switch is more likely to turn ON.

BLUE indicated twice insead of BLUE or ORANGE",Female,White,
2391,Condition_2,35,Non-Hispanic,"The probability at which they would turn on, and whether both or one had to be on.",Female,Black/African American,
2385,Condition_2,29,Non-Hispanic,The percentage chances dictated how I made decisions .,Male,Black/African American,
2412,Condition_2,40,Non-Hispanic,I would want her to push the orange button to increase our odds of getting a point.,Male,White,
2363,Condition_2,35,Non-Hispanic,I thought about what would be the most precise answer even if it was concise and not the full explanation,Male,Asian,
2359,Condition_2,21,Non-Hispanic,"My response varied based on which switch having an increased chance of turning on would be better for the scenario. For example, changing the blue switch to have an 100% chance of turning on is the best thing to do in the first scenario in order to get the largest number of points, so I told my partner that we won because the blue switch turned on. This way, they are more likely to press the blue button and we are more likely to win more points.",Female,White,
2323,Condition_2,27,Non-Hispanic,It was confusing to make the last call because neither explanation really sufficed.,Female,White,
2395,Condition_2,28,Non-Hispanic,I decided to tell my partner which every switch went on that would be the most helpful for winning,Female,Multiracial,
2375,Condition_2,37,Non-Hispanic,I decided to respond with the best answer that'll help score a point.,Male,White,
2411,Condition_2,23,Non-Hispanic,,Male,Asian,
2404,Condition_2,19,Non-Hispanic,None,Female,White,
2347,Condition_2,24,Non-Hispanic,N/A,Male,Asian,
2397,Condition_2,63,Non-Hispanic,no,Male,White,
2406,Condition_2,29,Non-Hispanic,,Female,Multiracial,
2371,Condition_2,31,Non-Hispanic,I said we won because the orange one was on because in future rounds I wanted them to boost the orange light because it had lower chances,Male,White,
2327,Condition_2,38,Non-Hispanic,Just trying to maximize the chances of winning,Male,White,
2402,Condition_2,53,Non-Hispanic,I tried to make a decision which would cause the blue light to turn on at 100% probability so that only the chance of the other one being on would be a factor.,Female,White,
2387,Condition_2,57,Non-Hispanic,My responses were based on the probabilities of winning and communicating the correct button choice to my partner.,Male,White,
2351,Condition_2,24,Non-Hispanic,"I thought it would be best in each situation to emphasize the switch that, when its button is pressed, would increase the odds of gaining a point more.",Female,White,
2417,Condition_2,35,Non-Hispanic,the percentages of the buttons ,Male,White,
2377,Condition_2,58,Non-Hispanic,"Guiding factor was always which option could result in the best chance of receiving points. For the second game that meant increasing the chance that the Orange stick would switch to on.

Very interesting study. Thank you for the opportunity to participate in your research.",Female,other_race,
2410,Condition_2,30,Non-Hispanic,Reading all the directions and images.,Female,Asian,
2386,Condition_1,69,Non-Hispanic,The rules of the game.,Male,White,
2374,Condition_1,23,Non-Hispanic,,Male,White,
2396,Condition_1,23,Non-Hispanic,I tried to respond in terms of my intuition and instructions for how the switches would behave,Male,White,
2342,Condition_1,41,Non-Hispanic,I tried to give my teammate an explanation that would make them more likely to choose the optimal button to press. ,Male,White,
2306,Condition_1,58,Non-Hispanic,,Male,White,
2354,Condition_1,27,Non-Hispanic,I wanted Alice to pick the blue switch to make it a 100% chance of turning on so I emphasized the importantance of the blue switch ,Female,White,
2378,Condition_1,30,Hispanic,just my first impression and the information provided,Male,White,
2312,Condition_1,20,Non-Hispanic,,Female,White,
2358,Condition_1,21,Non-Hispanic,I tried to figure out what option would make getting a point statistically the most likely. ,Female,White,
2364,Condition_1,39,Non-Hispanic,I chose to answer in a way that I thought was most likely to get the other team member to boost the chances of the orange switch turning on.,Female,White,
2338,Condition_1,38,Non-Hispanic,"A point is a point, I don't have to choose one switch color or the other. But in the one choice, I would rather a 100% chance",Male,White,
2403,Condition_1,44,Non-Hispanic,"I think that my answers hopefully conveyed that it was important to adjust the orange one in the first set, and the blue one in the second.",Female,White,
2413,Condition_1,32,Non-Hispanic,Great study.,Male,White,
2313,Condition_1,20,Non-Hispanic,"Saying that we only won because the orange switch turned on, in my opinion, implies that the orange switch is the more troublesome one to fix.",Female,Multiracial,
2401,Condition_1,44,Non-Hispanic,,Female,White,
2416,Condition_1,29,Non-Hispanic,Percentages the orange button needed the switch more ,Male,Black/African American,
2376,Condition_1,33,Non-Hispanic,,other_gender,White,
2334,Condition_1,29,Non-Hispanic,Understanding and comprehending the rules.,Male,Black/African American,
2382,Condition_1,27,Non-Hispanic,Which explanation would have the best chance of the other person having the desirable outcome,Male,White,
2370,Condition_1,31,Non-Hispanic,What the person knew who I was guiding.,Male,White,
2326,Condition_1,33,Non-Hispanic,In the first round the orange witch was the deciding factor. In the second round either one could decide and the blue would guarantee a win if the button was pressed.,Male,White,
2384,Condition_1,19,Non-Hispanic,,Male,White,
2388,Condition_1,41,Non-Hispanic,Whatever explanation I could give that was truthful and helped best explain the rules was what I chose. Thank you for all your hard work!,Male,White,
2380,Condition_1,26,Non-Hispanic,no,Female,White,
2372,Condition_1,35,Non-Hispanic,I decided based on the odds of scoring a point and the information that the other participant had to be able to make a choice.,Female,White,
2366,Condition_1,35,Non-Hispanic,"The probability of the lower % switch turning on. Orange only had a 20% success rate of being turned on, so increasing it would increase the probability of winning a point more than the blue.",Male,White,
2352,Condition_1,53,Non-Hispanic,The factors that influenced my response were just the facts of the situation. Whatever was most likely to get the team to score a point. ,Female,White,
2392,Condition_1,25,Non-Hispanic,how i would need to understand it,Female,Asian,
2348,Condition_1,31,Non-Hispanic,none,Male,White,
2346,Condition_1,30,Non-Hispanic,not really,Male,Black/African American,
2407,Condition_1,30,Non-Hispanic,I wanted to try to explain the game to the other player,Female,White,
2320,Condition_1,24,Non-Hispanic,I didn't overthink about how to respond to the other players because I don't think hinting at one colored button or the other would have really helped them know that much more about the percentages on the buttons.,Female,White,
2322,Condition_1,24,Hispanic,,Female,White,
2330,Condition_1,40,Non-Hispanic,"When we got points for either switch being on, the explanation didn't seem to matter as much.",Female,White,
2340,Condition_1,48,Non-Hispanic,The chances of getting the point and ON played the factor. No comments on experiment.,Female,White,
2390,Condition_1,25,Hispanic,honestly just reading the text. i may be simple minded or just bad at math but i had to read it a few times to decide my response,Non-binary,Multiracial,
2399,Condition_1,18,Non-Hispanic,,Female,Black/African American,
2336,Condition_1,30,Hispanic,I tried to make both explanations straightforward with the limited options I had,Male,American Indian/Alaska Native,
2308,Condition_1,23,Hispanic,,Female,White,
2414,Condition_1,42,Non-Hispanic,I chose the answer that was most likely to direct the other player to the correct choice.,Female,White,
2362,Condition_1,39,Non-Hispanic,,Female,Multiracial,
2360,Condition_1,48,Non-Hispanic,"Knowing that only one switch needed to be on, I made sure my partner knew that was the reason so they would continue to select it.",Male,White,
2318,Condition_1,52,Hispanic,i tried following directions,Male,White,
2356,Condition_1,29,Non-Hispanic,Just the rules of the game.,Male,White,
2332,Condition_1,74,Non-Hispanic,because only one switch needs to be turned on,Male,White,
2316,Condition_1,75,,probability,Female,White,
2324,Condition_1,66,Non-Hispanic,The greatest chance of turning on is what I pick because I know the chances.,Female,White,
2328,Condition_1,29,Hispanic,everything blue was better,Female,Multiracial,
2344,Condition_1,35,Non-Hispanic,"If both switches need to be own, it is better to increase the likelihood of the 20% switch to 40%. If only one switch needs to be on, then you should just bring the 80% switch to 100%. I gave answer that I thought would cause my partner to choose the switch I wanted.

Other than that, I think having a new page and illustration for every sentence was unnecessary.",Male,Black/African American,
