workerid,proliferate.condition,age,ethnicity,feedback,gender,race,error
1415,Conpos_Dispos,20,Non-Hispanic,The probability of the switch turning on and whether or not both switches needed to be on ,Non-binary,White,
1429,Conpos_Dispos,23,Non-Hispanic,"logic, i guess",Female,White,
1439,Conpos_Dispos,25,Hispanic,Only thing that factored was weather the other person knew the chance of the switches on.,Male,other_race,
1407,Conpos_Dispos,27,Non-Hispanic,"The factors like, the chances that I knew.",Female,Black/African American,
1393,Conpos_Dispos,45,,,Female,White,
1377,Conpos_Dispos,47,,none,Male,Black/African American,
1400,Conpos_Dispos,51,Non-Hispanic,because either way there would be a win,Female,White,
1435,Conpos_Dispos,44,Non-Hispanic,"In the first choice, given only those two options, I chose to tell Zarah the orange switch was what enabled us to score (even though this wasn't technically true). That way, if she was asked to throw a switch herself, she would choose that one and we'd be more likely to win.",Male,White,
1397,Conpos_Dispos,31,Non-Hispanic,,Male,White,
1417,Conpos_Dispos,37,Non-Hispanic,None,Male,White,
1403,Conpos_Dispos,68,Non-Hispanic,The factor that influenced my response was the probability of the switch turning on or off.,Female,White,
1425,Conpos_Dispos,24,Non-Hispanic,,Male,Asian,
1389,Conpos_Dispos,19,Non-Hispanic,i just went by the facts that were presented to me,Female,White,
1447,Conpos_Dispos,27,Non-Hispanic,first round needed both sitches so it would be better to flip the switch with the lower probability of being on; in the second round it didn't matter since only one switch was needed,Female,White,
1437,Conpos_Dispos,33,Non-Hispanic,,Male,White,
1365,Conpos_Dispos,24,Non-Hispanic,Just a basic understanding of the game - it wasn't super hard to follow.,Female,White,
1375,Conpos_Dispos,26,Hispanic,I don't actually think any of the explanations provided as options are legitimate enough to be a satisfactory answer.,Male,White,
1455,Conpos_Dispos,43,Non-Hispanic,My answers were based on the information that was provided to me.,Male,Asian,
1449,Conpos_Dispos,50,Non-Hispanic,The 80% chance of the switch being on,Female,White,
1359,Conpos_Dispos,66,Non-Hispanic,"I made my best guesses about probability in each scenario. I have never formally studied probability, though. I'm curious about what this study is actually investigating. ",Female,White,
1459,Conpos_Dispos,24,Non-Hispanic,"In the first round I thought about what I was most likely to do with each piece of advice and chose the one that I thought would cause me to turn on the orange switch. In the second one, it did not matter which switch was on, so the explanation itself did not matter as long as it involved one switch being turned on.",Female,White,
1443,Conpos_Dispos,38,Non-Hispanic,I thought about which statement would be more likely to help my game partner.,Female,White,
1369,Conpos_Dispos,71,Non-Hispanic,Just tried to go wth the one with greater probability,Female,White,
1379,Conpos_Dispos,51,,,Female,Asian,
1409,Conpos_Dispos,54,Hispanic,I chose to state that we scored a point because orange switch turned on hoping to influence my teammate to turn on the orange switch if we were ever given an opportunity to do so. The blue switch would switch on 80% of the time.,Male,White,
1427,Conpos_Dispos,39,Non-Hispanic,I thought about the odds of each choice happening and the importance of final result. ,Male,White,
1383,Conpos_Dispos,24,Non-Hispanic,"the factors that influenced me was I always went for the higher percentage of turning the switch on, regardless of only one switch needed to be turned on or not",Female,Black/African American,
1453,Conpos_Dispos,32,Non-Hispanic,the percentage of being turned on.,Female,Asian,
1433,Conpos_Dispos,22,Non-Hispanic,,Female,Asian,
1457,Conpos_Dispos,49,Non-Hispanic,"I tried to respond in a way that nudged the other player to manually turn on the switch with the lower chance of randomly ending up in the ""on"" position.",Female,White,
1423,Conpos_Dispos,26,Hispanic,Just trying to play with the oddds,Male,Multiracial,
1431,Conpos_Dispos,32,Non-Hispanic,,Non-binary,Asian,
1451,Conpos_Dispos,36,Hispanic,I responded based on the information given in the prompts.,Female,Black/African American,
1381,Conpos_Dispos,30,Non-Hispanic,I didn't feel like the information I could provide would really help,Non-binary,White,
1361,Conpos_Dispos,24,Non-Hispanic,THe chance that the would help me win,Female,Black/African American,
1441,Conpos_Dispos,21,Hispanic,probability,Female,Multiracial,
1421,Conpos_Dispos,21,Non-Hispanic,"The probability of each switch turning ""on"" or ""off"" influenced my decisions. ",Female,White,
1385,Conpos_Dispos,61,Non-Hispanic,I looked at the logic given.,Male,White,
1401,Conpos_Dispos,28,Non-Hispanic,The chance of orange being on and as long was it was it was the highest chance of winning.,Male,White,
1405,Conpos_Dispos,37,Non-Hispanic,My only concern was the math or probability behind the chance of winning.,Male,White,
1387,Conpos_Dispos,42,Non-Hispanic,How it would make sense to me. ,Female,White,
1371,Conpos_Dispos,48,Non-Hispanic,,Female,Multiracial,
1419,Conpos_Dispos,46,Non-Hispanic,"The way you win in each scenario was how I decided how to respond (either both switches on or only one on). In the first scenario, I also took the percentage of turning on into account when responding.",Female,White,
1445,Conpos_Dispos,31,Non-Hispanic,Based on the chances of scoring a point is switching on,Male,Black/African American,
1363,Conpos_Dispos,57,Non-Hispanic,I just based it on the information given to me.,Male,White,
1391,Conpos_Dispos,26,Non-Hispanic,probability of each switch turning on,Male,White,
1411,Conpos_Dispos,34,Hispanic,I decided to always turn on the orange switch because it was likely that the blue would turn on anyway.,Male,American Indian/Alaska Native,
1373,Conpos_Dispos,44,Non-Hispanic,"If you can choose to turn either one on, and only one needs to be on, then as long as you turn one on, you will win.  Any explination about which one is on is unnecessary.",Male,White,
1367,Conpos_Dispos,34,Non-Hispanic,Tried to consider the odds.,Female,White,
