workerid,proliferate.condition,age,ethnicity,feedback,gender,race,error
2989,Condition_2,32,Non-Hispanic,Sharing information about switches and their cost associations.,Non-binary,White,
3020,Condition_2,18,Non-Hispanic,,Male,White,
2965,Condition_2,26,Non-Hispanic,I decided to respond the way I did based on the information I was given throughout the experiment.,Female,White,
2997,Condition_2,47,Non-Hispanic,"I figured if I told her it was due to the blue switch, she would be more likely to choose it if she had to choose one, thus costing us less",Male,White,
2957,Condition_2,34,Non-Hispanic,none,Male,White,
2973,Condition_2,33,Non-Hispanic,,Female,White,
2923,Condition_2,41,Non-Hispanic,"We only need one switch to be on to win the $5, so both explanations are equally good.",Female,White,
2961,Condition_2,56,Non-Hispanic,Either switch turned on will result in the money gained. ,Female,White,
2931,Condition_2,40,Non-Hispanic,Factors based on my understanding of the game.,Male,White,
3006,Condition_2,25,Non-Hispanic,Just that both switches have the same chance of turning on,Female,White,
2993,Condition_2,42,Non-Hispanic,The rules and probabilities influenced my responses. No additional comments.,Male,White,
2941,Condition_2,32,Non-Hispanic,,Female,White,
2949,Condition_2,55,Non-Hispanic,,Male,White,
2933,Condition_2,38,Non-Hispanic,They were both on so either statement would be true.,Female,Multiracial,
3016,Condition_2,25,Non-Hispanic,I would say this to try to influence Alice to turn on the less expensive Blue switch.,Female,White,
2969,Condition_2,49,Non-Hispanic,"Saying blue will make it more likely Alice will flip the blue switch, which will cost only $1",Female,White,
3001,Condition_2,41,Non-Hispanic,I tried to emphasize the importance of the blue switch being on so that hopefully Alice would turn that one on with her choice since it was lower cost. I wasn't sure if I was allowed to directly address the price.,Male,White,
2937,Condition_2,40,Non-Hispanic,I suggested the blue switch be turned on as it costs less then the orange and my partner doesn't know this info so I've relayed it without giving it away,Male,Multiracial,
3012,Condition_2,74,Non-Hispanic,no,Female,White,
2927,Condition_2,46,Non-Hispanic,I would tell her the blue switch needs to be on because it costs less,Female,White,
2981,Condition_2,42,Non-Hispanic,,Female,White,
3008,Condition_2,27,Non-Hispanic,"I responded because there since we won $5, both switches turned on. Alice already knew the likelihood of that happening, and the cost of flipping a switch did not come into play. Had I turned a switch manually, it would be relevant to mention the cost or specific switch.",Male,White,
2945,Condition_2,35,Non-Hispanic,Just reading the directions,Female,White,
2985,Condition_2,62,Non-Hispanic,just curious where we are going with the game...,Female,White,
3023,Condition_3,37,Non-Hispanic,You would want to always use the orange switch so if thats all you could say you would want to convey to always use the orange switch.,Male,White,
2972,Condition_3,33,Non-Hispanic,,Female,Black/African American,
2995,Condition_3,21,Hispanic,That the orange switch is cheaper,Male,White,
2979,Condition_3,30,Non-Hispanic,"Both switches had the same likelihood of turning ON, and since the total outcome was based on chance we can't assign more credit to either switch.",Male,White,
